date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out
2024-05-12,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-05-11,-1.0,4.0,5.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-05-10,-1.0,1.0,12.0,14.0,13.0,13.0,11.0,11.0,8.0,9.0,15.0,-1.0
2024-05-09,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,1.0,19.0,30.0,34.0,34.0,31.0,31.0,28.0,28.0,28.0,-1.0
2024-05-06,-1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-04,-1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-03,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,0.0,0.0,1.0,24.0,24.0,22.0,22.0,19.0,19.0,18.0,-1.0
2024-04-30,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-1.0
2024-04-29,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-28,-1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-26,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0
2024-04-25,-1.0,0.0,0.0,7.0,4.0,5.0,3.0,3.0,1.0,2.0,1.0,-1.0
2024-04-24,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-23,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-22,-1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,2.0,8.0,7.0,8.0,6.0,7.0,5.0,6.0,4.0,-1.0
2024-04-18,-1.0,0.0,5.0,6.0,4.0,5.0,3.0,3.0,1.0,2.0,1.0,-1.0
2024-04-17,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-16,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-15,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-14,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,-1.0
2024-04-12,-1.0,2.0,5.0,6.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,-1.0
2024-04-11,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,-1.0
2024-04-09,-1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-07,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,-1.0
2024-04-06,-1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,1.0,1.0,1.0,0.0,6.0,4.0,4.0,1.0,1.0,1.0,-1.0
2024-04-04,-1.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-03,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
