date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Gotha.in,Gotha.out,Eisenach.in,Eisenach.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-09,-1.0,4.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,1.0,5.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,-1.0
2024-05-08,-1.0,1.0,0.0,1.0,10.0,11.0,5.0,6.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,-1.0
2024-05-07,-1.0,3.0,1.0,13.0,8.0,8.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,4.0,4.0,7.0,8.0,8.0,8.0,0.0,0.0,2.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,7.0,6.0,4.0,5.0,4.0,5.0,0.0,0.0,2.0,-1.0
2024-05-03,-1.0,7.0,6.0,7.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,-1.0
2024-05-01,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,19.0,18.0,19.0,16.0,15.0,14.0,14.0,15.0,15.0,0.0,0.0,3.0,-1.0
2024-04-30,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,5.0,-1.0
2024-04-26,-1.0,0.0,2.0,2.0,2.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,12.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,3.0,2.0,1.0,1.0,2.0,0.0,-1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,9.0,15.0,15.0,0.0,0.0,24.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,26.0,-1.0
2024-04-23,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,8.0,-1.0
2024-04-22,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,-1.0
2024-04-21,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,-1.0,-1.0,47.0,45.0,0.0,0.0,22.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,-1.0
2024-04-18,-1.0,3.0,2.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,-1.0
2024-04-17,-1.0,1.0,-1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,70.0,74.0,74.0,0.0,0.0,68.0,-1.0
2024-04-16,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,4.0,5.0,5.0,3.0,4.0,0.0,3.0,1.0,1.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,6.0,0.0,0.0,1.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,-1.0
2024-04-12,-1.0,5.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,6.0,4.0,4.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,2.0,-1.0,2.0,2.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,7.0,7.0,0.0,0.0,5.0,-1.0
2024-04-07,-1.0,0.0,0.0,8.0,3.0,4.0,0.0,1.0,0.0,-1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,2.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,-1.0
2024-04-04,-1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,15.0,-1.0
2024-04-03,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,18.0,19.0,19.0,20.0,19.0,19.0,17.0,17.0,15.0,16.0,0.0,0.0,5.0,-1.0
