date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Flughafen_BER.in,Flughafen_BER.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Oranienburg.in,Oranienburg.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Schwerin_Hbf.in,Schwerin_Hbf.out,Rostock_Hbf.in,Rostock_Hbf.out,Warnemünde.in,Warnemünde.out
2024-05-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,5.0,4.0,2.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,6.0,7.0,7.0,7.0,14.0,14.0,11.0,11.0,13.0,13.0,0.0,0.0,8.0,5.0,0.0,-1.0
2024-05-02,-1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,9.0,9.0,12.0,12.0,8.0,8.0,8.0,8.0,0.0,0.0,5.0,2.0,0.0,-1.0
2024-05-01,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,7.0,7.0,7.0,3.0,4.0,0.0,0.0,5.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-04-29,-1.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,6.0,2.0,0.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,7.0,8.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,7.0,9.0,12.0,12.0,12.0,6.0,6.0,5.0,4.0,0.0,0.0,5.0,3.0,1.0,-1.0
2024-04-26,-1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-24,-1.0,1.0,1.0,0.0,8.0,7.0,6.0,6.0,3.0,3.0,5.0,4.0,9.0,7.0,12.0,11.0,20.0,19.0,15.0,15.0,13.0,13.0,0.0,0.0,8.0,4.0,2.0,-1.0
2024-04-23,-1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,4.0,7.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,21.0,20.0,18.0,29.0,29.0,25.0,24.0,24.0,24.0,0.0,0.0,20.0,-1.0,-1.0,-1.0
2024-04-20,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-19,-1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,10.0,9.0,12.0,14.0,17.0,16.0,25.0,25.0,20.0,20.0,19.0,19.0,0.0,0.0,18.0,14.0,8.0,-1.0
2024-04-18,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-17,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,7.0,6.0,7.0,6.0,5.0,5.0,11.0,11.0,7.0,7.0,7.0,7.0,0.0,0.0,4.0,1.0,0.0,-1.0
2024-04-16,-1.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,19.0,16.0,8.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,20.0,17.0,10.0,-1.0
2024-04-13,-1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,19.0,17.0,9.0,-1.0
2024-04-12,-1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,7.0,9.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,17.0,14.0,8.0,-1.0
2024-04-11,-1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,18.0,-1.0,-1.0,-1.0
2024-04-10,-1.0,2.0,-1.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,9.0,8.0,10.0,14.0,14.0,13.0,13.0,11.0,11.0,0.0,0.0,6.0,2.0,0.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,16.0,15.0,14.0,13.0,15.0,15.0,0.0,0.0,14.0,10.0,7.0,-1.0
2024-04-07,-1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,15.0,16.0,14.0,16.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,-1.0
2024-04-06,-1.0,2.0,2.0,1.0,9.0,8.0,6.0,5.0,2.0,13.0,33.0,32.0,33.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,25.0,-1.0,0.0,0.0
2024-04-05,-1.0,2.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,-1.0,0.0,0.0
2024-04-04,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0,0.0,0.0
2024-04-02,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,9.0,8.0,7.0,9.0,9.0,5.0,5.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,7.0,8.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
