date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-30,-1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,6.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,-1.0
2024-05-29,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,-1.0
2024-05-28,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-27,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,11.0,-1.0,9.0,6.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,12.0,14.0,10.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,-1.0
2024-05-23,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,13.0,12.0,11.0,10.0,11.0,24.0,22.0,26.0,24.0,23.0,23.0,27.0,27.0,28.0,28.0,28.0,27.0,26.0,-1.0
2024-05-22,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,8.0,5.0,4.0,8.0,9.0,8.0,9.0,15.0,13.0,11.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,-1.0
2024-05-21,-1.0,22.0,2.0,1.0,22.0,22.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,33.0,-1.0,30.0,28.0,28.0,21.0,21.0,18.0,18.0,20.0,19.0,23.0,22.0,19.0,18.0,17.0,17.0,15.0,16.0,11.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,-1.0
2024-05-17,-1.0,1.0,1.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,8.0,4.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,3.0,-1.0
2024-05-16,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,4.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-05-15,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,7.0,-1.0
2024-05-14,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-13,-1.0,-1.0,-1.0,19.0,25.0,24.0,19.0,18.0,16.0,17.0,36.0,35.0,0.0,0.0,0.0,0.0,34.0,33.0,71.0,73.0,73.0,72.0,71.0,71.0,70.0,70.0,71.0,71.0,74.0,73.0,74.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-05-10,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,-1.0
2024-05-09,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,-1.0
2024-05-08,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,2.0,0.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,8.0,9.0,9.0,-1.0
