date,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,1.0,-1.0,1.0,0.0,1.0,7.0,9.0,17.0,19.0,20.0,20.0,15.0,-1.0
2024-05-29,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,8.0,-1.0
2024-05-28,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,2.0,15.0,16.0,12.0,-1.0
2024-05-27,-1.0,1.0,-1.0,31.0,24.0,36.0,29.0,29.0,27.0,27.0,25.0,25.0,26.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-05-25,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,13.0,-1.0
2024-05-24,-1.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,-1.0
2024-05-23,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,6.0,5.0,9.0,-1.0
2024-05-22,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,-1.0
2024-05-21,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,51.0,50.0,49.0,49.0,47.0,47.0,49.0,49.0,45.0,-1.0
2024-05-19,-1.0,0.0,-1.0,0.0,0.0,1.0,5.0,7.0,10.0,10.0,19.0,19.0,11.0,-1.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,2.0,-1.0
2024-05-17,-1.0,-1.0,-1.0,0.0,11.0,11.0,49.0,49.0,48.0,48.0,54.0,53.0,53.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,14.0,-1.0
2024-05-15,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,-1.0
2024-05-14,-1.0,2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-13,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,-1.0
2024-05-12,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,24.0,-1.0
2024-05-11,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,6.0,5.0,5.0,20.0,20.0,28.0,-1.0
2024-05-10,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,12.0,-1.0
2024-05-02,-1.0,3.0,-1.0,0.0,-1.0,0.0,2.0,2.0,9.0,8.0,10.0,10.0,6.0,-1.0
2024-05-01,-1.0,3.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-30,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,-1.0
2024-04-27,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,-1.0
2024-04-26,-1.0,2.0,-1.0,0.0,-1.0,0.0,1.0,1.0,7.0,9.0,20.0,19.0,68.0,-1.0
2024-04-25,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,-1.0
2024-04-24,-1.0,0.0,-1.0,0.0,1.0,1.0,3.0,4.0,6.0,6.0,1.0,2.0,7.0,-1.0
2024-04-23,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,20.0,20.0,23.0,-1.0
2024-04-22,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,18.0,18.0,27.0,47.0,46.0,46.0,41.0,40.0,33.0,-1.0
2024-04-20,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,-1.0
2024-04-19,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,8.0,8.0,19.0,19.0,16.0,-1.0
2024-04-18,-1.0,0.0,-1.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,-1.0
2024-04-17,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,-1.0
2024-04-16,-1.0,3.0,-1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,12.0,12.0,10.0,-1.0
2024-04-15,-1.0,0.0,-1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,11.0,11.0,7.0,7.0,6.0,6.0,9.0,9.0,17.0,-1.0
2024-04-13,-1.0,1.0,-1.0,0.0,1.0,1.0,30.0,30.0,45.0,45.0,52.0,52.0,47.0,-1.0
2024-04-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,-1.0
2024-04-11,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,-1.0
2024-04-10,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-1.0
2024-04-09,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,5.0,-1.0
2024-04-08,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,15.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,-1.0
2024-04-06,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,4.0,3.0,3.0,1.0,1.0,11.0,-1.0
2024-04-05,-1.0,0.0,-1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,14.0,-1.0
2024-04-04,-1.0,0.0,-1.0,0.0,2.0,2.0,1.0,1.0,5.0,5.0,14.0,14.0,12.0,-1.0
2024-04-03,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,6.0,6.0,6.0,-1.0
2024-04-02,-1.0,0.0,-1.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,-1.0
2024-04-01,-1.0,2.0,-1.0,0.0,11.0,11.0,2.0,2.0,4.0,4.0,1.0,1.0,5.0,-1.0
