date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Greifswald.in,Greifswald.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Pasewalk.in,Pasewalk.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Prenzlau.in,Prenzlau.out,Angermünde.in,Angermünde.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-30,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,1.0,2.0,-1.0,2.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,-1.0,8.0,-1.0
2024-05-27,-1.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,7.0,6.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,-1.0,0.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,-1.0,8.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,4.0,-1.0,14.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,3.0,-1.0,0.0,-1.0
2024-05-21,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,5.0,6.0,5.0,5.0,4.0,4.0,11.0,6.0,9.0,-1.0,6.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,1.0,-1.0,0.0,-1.0
