date,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-27,-1.0,-1.0,-1.0,80.0,78.0,78.0,76.0,76.0,74.0,-1.0,-1.0,-1.0
2024-05-26,-1.0,0.0,6.0,6.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,-1.0
2024-05-25,-1.0,1.0,9.0,10.0,18.0,22.0,20.0,19.0,16.0,16.0,36.0,-1.0
2024-05-24,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-23,-1.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-17,-1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,-1.0
2024-05-16,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-15,-1.0,14.0,8.0,9.0,8.0,10.0,8.0,9.0,7.0,10.0,7.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,1.0,0.0,8.0,6.0,7.0,5.0,7.0,5.0,5.0,4.0,-1.0
2024-05-11,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-09,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-05-05,-1.0,1.0,0.0,0.0,11.0,14.0,12.0,12.0,11.0,11.0,10.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-05-03,-1.0,6.0,5.0,7.0,8.0,8.0,30.0,30.0,7.0,7.0,8.0,-1.0
2024-05-02,-1.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,3.0,3.0,2.0,-1.0
2024-05-01,-1.0,1.0,9.0,9.0,6.0,7.0,4.0,4.0,1.0,1.0,0.0,-1.0
2024-04-30,-1.0,15.0,16.0,17.0,17.0,26.0,24.0,26.0,24.0,24.0,22.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-26,-1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-25,-1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-24,-1.0,0.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,-1.0
2024-04-23,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-22,-1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,15.0,17.0,18.0,-1.0
2024-04-21,-1.0,2.0,0.0,0.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,-1.0
2024-04-20,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-19,-1.0,7.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-18,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-17,-1.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,-1.0
2024-04-16,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-04-15,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-13,-1.0,0.0,6.0,7.0,6.0,6.0,4.0,6.0,3.0,3.0,2.0,-1.0
2024-04-12,-1.0,0.0,-1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-04-07,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,0.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,2.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,77.0,73.0,74.0,72.0,73.0,71.0,71.0,68.0,-1.0,-1.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
