date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-04,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,22.0,22.0,26.0,4.0,2.0,4.0,3.0,9.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-05-02,-1.0,2.0,0.0,0.0,7.0,7.0,4.0,1.0,5.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-01,-1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,-1.0
2024-04-30,-1.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,8.0,5.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,46.0,46.0,46.0,46.0,42.0,41.0,43.0,-1.0
2024-04-26,-1.0,1.0,0.0,0.0,22.0,22.0,22.0,1.0,4.0,5.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,17.0,-1.0
2024-04-24,-1.0,27.0,0.0,0.0,26.0,25.0,23.0,1.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,30.0,30.0,25.0,-1.0
2024-04-23,-1.0,26.0,0.0,0.0,36.0,37.0,36.0,14.0,12.0,12.0,11.0,11.0,8.0,7.0,3.0,2.0,0.0,1.0,1.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,10.0,9.0,3.0,3.0,1.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,5.0,10.0,12.0,9.0,10.0,10.0,13.0,8.0,8.0,3.0,-1.0
2024-04-18,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,8.0,8.0,5.0,6.0,3.0,4.0,1.0,1.0,0.0,-1.0
2024-04-17,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-16,-1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,5.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,-1.0
2024-04-15,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,3.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,2.0,10.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,0.0,19.0,18.0,7.0,7.0,8.0,3.0,4.0,9.0,9.0,5.0,5.0,3.0,2.0,1.0,-1.0
2024-04-11,-1.0,3.0,0.0,0.0,3.0,3.0,7.0,6.0,6.0,7.0,2.0,3.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,27.0,27.0,25.0,2.0,5.0,6.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,-1.0,19.0,0.0,0.0,21.0,22.0,23.0,1.0,15.0,15.0,12.0,13.0,13.0,13.0,12.0,12.0,6.0,5.0,1.0,-1.0
2024-04-07,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,-1.0
2024-04-04,-1.0,3.0,0.0,0.0,16.0,16.0,13.0,8.0,8.0,8.0,5.0,5.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-03,-1.0,1.0,0.0,0.0,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-01,-1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
