date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Bruchsal.in,Bruchsal.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Offenburg.in,Offenburg.out,Hausach.in,Hausach.out,Triberg.in,Triberg.out,St_Georgen(Schwarzw).in,St_Georgen(Schwarzw).out,Villingen(Schwarzw).in,Villingen(Schwarzw).out,Donaueschingen.in,Donaueschingen.out,Singen(Hohentwiel).in,Singen(Hohentwiel).out,Radolfzell.in,Radolfzell.out
2024-05-30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,6.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,1.0,1.0,5.0,3.0,5.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2024-05-26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,3.0,0.0,1.0,1.0,0.0,4.0,4.0,5.0,5.0,7.0,6.0,6.0,6.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,4.0,5.0,3.0,4.0,2.0,2.0,1.0,2.0,11.0,14.0,14.0,13.0,0.0
2024-05-18,0.0,0.0,17.0,16.0,7.0,7.0,0.0,0.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
