date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Wiesloch-Walldorf.in,Wiesloch-Walldorf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,16.0,16.0,20.0,19.0,0.0,0.0,0.0,0.0,27.0,26.0,29.0,27.0,0.0,0.0,35.0,35.0,32.0,31.0,37.0,37.0,47.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,8.0,0.0,0.0,10.0,10.0,18.0,17.0,17.0,17.0,25.0,0.0
2024-05-28,0.0,22.0,19.0,19.0,19.0,20.0,23.0,23.0,26.0,26.0,26.0,27.0,0.0,0.0,0.0,0.0,28.0,27.0,27.0,25.0,0.0,0.0,33.0,32.0,31.0,30.0,32.0,33.0,40.0,0.0
2024-05-27,0.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,7.0,6.0,5.0,5.0,12.0,0.0
2024-05-26,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,11.0,12.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,9.0,12.0,11.0,0.0,0.0,30.0,29.0,26.0,26.0,36.0,36.0,39.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,2.0,5.0,16.0,15.0,15.0,18.0,18.0,0.0,0.0,0.0,0.0,19.0,18.0,18.0,17.0,0.0,0.0,23.0,23.0,20.0,20.0,22.0,23.0,25.0,0.0
2024-05-24,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,4.0,11.0,11.0,0.0,0.0,0.0,0.0,12.0,11.0,13.0,12.0,0.0,0.0,15.0,14.0,13.0,12.0,12.0,14.0,18.0,0.0
2024-05-23,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,11.0,10.0,0.0,0.0,0.0,0.0,13.0,11.0,16.0,17.0,0.0,0.0,25.0,25.0,31.0,30.0,33.0,33.0,32.0,0.0
2024-05-22,0.0,4.0,5.0,6.0,4.0,5.0,4.0,9.0,8.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,5.0,9.0,10.0,0.0,0.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,12.0,5.0,6.0,5.0,6.0,3.0,4.0,10.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,8.0,7.0,0.0,0.0,12.0,11.0,9.0,8.0,8.0,9.0,9.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,7.0,10.0,8.0,10.0,10.0,0.0,0.0,13.0,12.0,16.0,16.0,16.0,0.0
2024-05-18,0.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,4.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,11.0,20.0,12.0,13.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,9.0,9.0,5.0,5.0,3.0,2.0,1.0,0.0
2024-05-15,0.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,10.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2024-05-14,0.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,6.0,5.0,4.0,4.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,0.0
2024-05-13,0.0,5.0,0.0,0.0,0.0,2.0,3.0,6.0,4.0,4.0,2.0,3.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,12.0,11.0,11.0,10.0,10.0,0.0
2024-05-12,0.0,2.0,6.0,7.0,9.0,10.0,12.0,20.0,23.0,22.0,20.0,19.0,13.0,13.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,19.0,18.0,23.0,25.0,26.0,0.0
2024-05-11,0.0,7.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,9.0,9.0,8.0,0.0
2024-05-10,0.0,4.0,9.0,9.0,8.0,8.0,5.0,6.0,3.0,3.0,4.0,5.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,20.0,19.0,22.0,21.0,21.0,0.0
2024-05-09,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,9.0,7.0,0.0,0.0,18.0,18.0,14.0,14.0,13.0,13.0,14.0,0.0
2024-05-08,0.0,16.0,8.0,9.0,8.0,9.0,10.0,11.0,11.0,23.0,39.0,39.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,38.0,37.0,37.0,37.0,43.0,0.0
2024-05-07,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,12.0,12.0,19.0,19.0,31.0,0.0
